id_ISO_lang,id_name_lang,latitude,longitude,lang_continent_lang,lang_subregion_lang,response_AES_lang,response_EGIDS_lang,soceco_GDP.2010USD.10yr.median_country,lang_L1.POP_lang,soceco_Gini.SWIID.10yr.median_country,edu_Ed.spending.pcGDP.10yr.median_country,edu_Mean.yr.school.10yr.median_country,soceco_Life.exp.birth.10yr.median_country,soceco_Life.exp.sixty.average_country,soceco_gdp.pcap.10yrmed_country,soceco_expense.pcGDP.10yrmed_country,edu_ed.sp.prm.pcGDP.10yrmed_country,edu_ed.sp.sec.pcGDP.10yrmed_country,edu_ed.sp.tert.pcGDP.10yrmed_country,edu_ed.sp.tot.pcxpd.10yrmed_country,landuse_urban.change_country,worldlang_world.language.as.official_country,edu_minority.education.policy_country,worldlang_Arabic_country,worldlang_Bahasa_country,worldlang_English_country,worldlang_French_country,worldlang_Hindustani_country,worldlang_Mandarin_country,worldlang_Portuguese_country,worldlang_Russian_country,worldlang_Spanish_country,edu_used.in.education_lang,lang_type_lang,div_language.richness_nb,div_threatened.languages_nb,div_prop.threatened.languages_nb,div_language.evenness_nb,conn_nav.water_nb,Western_Africa,Oceania,Europe,Southern_Asia,South_America,Northern_America,Africa,South-Eastern_Asia,Arab,Asia,Central_America,Australia_and_New_Zealand
kfm,Khunsari,35.712976,53.351941,Asia,Southern Asia,threatened,7,4.62E+11,21100,38.2,3.709180117,9.1,73.932,19.42179561,6232.935418,19.42024319,26.73435,45.30434,22.02841,19.66485977,40.659,0,0,0,0,0,0,0,0,0,0,0,0,prevalent,7,5,0.714285714,0.301670171,0,0,0,0,1,0,0,0,0,0,0,0,0
kfn,Kuk,6.461755,10.13127,Africa,Africa,shifting,6b,26143818510,3000,43.1,2.768019915,5.3,55.424,16.68520433,1286.515572,13.2938286,34.19688,52.47442,10.20724,15.70061016,41.84,1,0,0,0,1,1,0,0,0,0,0,0,prevalent,62,16,0.258064516,0.491445453,0.031376587,0,0,0,0,0,0,1,0,0,0,0,0
kfo,Koro (Côte d'Ivoire),8.12,-5.74,Africa,Western Africa,threatened,6a,24392354395,40000,41,4.41245985,4.2,50.423,14.06116412,1216.187076,14.56762769,41.58683,33.39189,22.23469,21.57472992,32.647,1,0,0,0,0,1,0,0,0,0,0,0,prevalent,7,1,0.142857143,0.463527679,0.054968744,1,0,0,0,0,0,0,0,0,0,0,0
kfp,Korwa,22.4922,84.1552,Asia,Southern Asia,threatened,6a,1.68E+12,34600,46.45,3.42347002,5.4,66.625,17.73565852,1357.563719,15.25786002,27.21284,38.7325,32.1669,11.83368015,15.676,1,1,0,0,1,0,1,0,0,0,0,0,prevalent,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kfy,Kumaoni,30,80,Asia,Southern Asia,threatened,5,1.69159E+12,2360000,46.30552263,3.428732398,5.387617268,66.70464986,17.7433494,1371.479021,15.32793847,27.35697484,38.36206302,31.67466815,11.94361998,15.87045438,0.987436201,0.987436201,0,0,0.980067124,0,0.980067124,0.007369077,0,0,0,0,prevalent,6,2,0.333333333,0,0.007563522,0,0,0,1,0,0,0,0,0,0,0,0
kgg,Kusunda,28,84.66666667,Asia,Southern Asia,nearly extinct,8b,16002656434,10,37.15,3.703589916,3.3,67.914,17.26859835,592.4010975,15.76677104,54.64629,31.9659,11.85525,18.28129005,15.856,0,0,0,0,0,0,0,0,0,0,0,0,prevalent,9,3,0.333333333,0,0.071568089,0,0,0,1,0,0,0,0,0,0,0,0
kgj,Gamale Kham,28.4321,82.9635,Asia,Southern Asia,threatened,6a,16002656434,13100,37.15,3.703589916,3.3,67.914,17.26859835,592.4010975,15.76677104,54.64629,31.9659,11.85525,18.28129005,15.856,0,0,0,0,0,0,0,0,0,0,0,0,prevalent,6,3,0.5,0,0.006205434,0,0,0,1,0,0,0,0,0,0,0,0
kgk,Kaiwá,-23,-55,South America,South America,threatened,5,2.19529E+12,18000,46.29932628,5.640153037,6.90538976,73.82753713,21.67427111,11239.55215,30.05927074,31.3734769,44.05109543,16.79035448,14.75928537,40.07272158,1,1,0,0,0,0,0,0,0.9932628,0,0.0067372,0,prevalent,2,1,0.5,0.000573,0.005601529,0,0,0,0,1,0,0,0,0,0,0,0
kgl,Kunggari,-26.71355116,146.4458743,Oceania,Australia and New Zealand,moribund,10,1.15E+12,0,32.8,5.083129883,12.4,81.69512195,25.03239729,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966,4.375,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,2,0,0,0.000315,0,0,0,0,0,0,0,0,0,0,0,0,1
kgn,Karingani,38.2036,48.2519,Asia,Arab,threatened,7,4.43702E+11,17600,37.78934903,3.657685376,9.171417559,73.80054706,19.37441696,6208.096168,19.51366733,25.54103624,43.28213664,21.58420193,19.13364616,38.96377032,0,0.044635974,0,0,0,0,0,0,0,0,0,0,prevalent,5,2,0.4,0.610126901,0.007029133,0,0,0,0,0,0,0,0,1,0,0,0
kgo,Krongo,10.5,30,Africa,Arab,threatened,5,64342607849,21700,36.1,2.082225025,3.1,62.62,17.76118621,1443.091356,10.74146575,45.07534,32.95736,20.61263,8.82297039,23.624,1,0,1,0,1,0,0,0,0,0,0,0,prevalent,14,7,0.5,0.055956592,0,0,0,0,0,0,0,0,0,1,0,0,0
kgp,Kaingang,-26,-52,South America,South America,threatened,6b,2.21E+12,18000,46.3,5.648799896,6.9,73.838,21.67862894,11286.24302,30.17779569,31.32595,44.11814,16.76335,14.72692966,40.17,1,1,0,0,0,0,0,0,1,0,0,0,prevalent,0,0,0,0,0.02936865,0,0,0,0,1,0,0,0,0,0,0,0
kgr,Abun,-0.5,132.5,Asia,South-Eastern Asia,shifting,5,7.55E+11,3000,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,4,1,0.25,0.76180301,0,0,0,0,0,0,0,0,1,0,0,0,0
kgs,Kumbainggar,-30.16666667,152.5,Oceania,Australia and New Zealand,moribund,6b,1.15E+12,42,32.8,5.083129883,12.4,81.69512195,25.03239729,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966,4.375,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,2,0,0,0,0.060772263,0,0,0,0,0,0,0,0,0,0,0,1
kgt,Somyev,6.9318,11.5136,Africa,Western Africa,moribund,8b,3.63E+11,15,41.9,3.06,5.2,50.847,13.68090624,2292.445156,,,,,,34.109,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,29,8,0.275862069,0.446283753,0.00000217,1,0,0,0,0,0,0,0,0,0,0,0
